"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"Los Angeles","6037","CA","1.0","2652072","Hillary Clinton","California","620285","1893770"
"Cook","17031","IL","0.9745999999999999","2055215","Hillary Clinton","Illinois","440213","1528582"
"Harris","48201","TX","1.0","1302887","Hillary Clinton","Texas","544960","706471"
"Maricopa","4013","AZ","1.0","1201934","Donald Trump","Arizona","590465","549040"
"Orange","6059","CA","1.0","1092116","Hillary Clinton","California","472669","556544"
"San Diego","6073","CA","1.0","1011651","Hillary Clinton","California","386807","567243"
"Miami-Dade","12086","FL","1.0","978670","Hillary Clinton","Florida","333666","623006"
"King","53033","WA","0.9076000000000001","910823","Hillary Clinton","Washington","197781","657149"
"Broward","12011","FL","1.0","822837","Hillary Clinton","Florida","258521","546956"
"Wayne","26163","MI","1.0","775450","Hillary Clinton","Michigan","228908","517842"
"Middlesex","25017","MA","1.0","767337","Hillary Clinton","Massachusetts","216163","508919"
"Clark","32003","NV","1.0","765421","Hillary Clinton","Nevada","319571","401068"
"Dallas","48113","TX","1.0","750649","Hillary Clinton","Texas","261865","458845"
"Kings","36047","NY","1.0","746295","Hillary Clinton","New York","133653","595086"
"Riverside","6065","CA","1.0","683612","Hillary Clinton","California","309514","339145"
"Philadelphia","42101","PA","0.9875","680227","Hillary Clinton","Pennsylvania","105418","560542"
"Hennepin","27053","MN","1.0","672644","Hillary Clinton","Minnesota","191768","429283"
"Oakland","26125","MI","1.0","663255","Hillary Clinton","Michigan","289127","342976"
"Tarrant","48439","TX","1.0","662832","Donald Trump","Texas","345683","288001"
"Santa Clara","6085","CA","1.0","659148","Hillary Clinton","California","137452","483472"
"Palm Beach","12099","FL","1.0","657235","Hillary Clinton","Florida","270762","371411"
"Allegheny","42003","PA","1.0","643173","Hillary Clinton","Pennsylvania","257488","363017"
"Queens","36081","NY","0.9969","627021","Hillary Clinton","New York","138550","473389"
"Suffolk","36103","NY","1.0","625720","Donald Trump","New York","328403","276953"
"Alameda","6001","CA","1.0","613195","Hillary Clinton","California","91189","486351"
"Nassau","36059","NY","1.0","599649","Hillary Clinton","New York","275479","307326"
"San Bernardino","6071","CA","1.0","598783","Hillary Clinton","California","253962","312517"
"Hillsborough","12057","FL","1.0","595072","Hillary Clinton","Florida","265928","306422"
"New York","36061","NY","0.9839","591368","Hillary Clinton","New York","58935","515481"
"Bexar","48029","TX","1.0","586038","Hillary Clinton","Texas","240161","319191"
"Cuyahoga","39035","OH","1.0","583230","Hillary Clinton","Ohio","179894","383974"
"Franklin","39049","OH","1.0","554711","Hillary Clinton","Ohio","192328","335961"
"Orange","12095","FL","1.0","545800","Hillary Clinton","Florida","195091","329579"
"Fairfax","51059","VA","1.0","542858","Hillary Clinton","Virginia","157837","354485"
"Wake","37183","NC","1.0","510940","Hillary Clinton","North Carolina","193607","298353"
"St. Louis","29189","MO","1.0","503493","Hillary Clinton","Missouri","199081","280866"
"Pinellas","12103","FL","1.0","491520","Donald Trump","Florida","238746","233327"
"Sacramento","6067","CA","1.0","467526","Hillary Clinton","California","163024","273768"
"Travis","48453","TX","1.0","462511","Hillary Clinton","Texas","126750","306475"
"Mecklenburg","37119","NC","1.0","461834","Hillary Clinton","North Carolina","154303","292258"
"Milwaukee","55079","WI","1.0","434970","Hillary Clinton","Wisconsin","126091","288986"
"Duval","12031","FL","1.0","428734","Donald Trump","Florida","210061","203627"
"Montgomery","42091","PA","1.0","427489","Hillary Clinton","Pennsylvania","160803","251063"
"Macomb","26099","MI","1.0","418773","Donald Trump","Michigan","224589","176238"
"Contra Costa","6013","CA","1.0","415972","Hillary Clinton","California","105819","286658"
"DuPage","17043","IL","1.0","412929","Hillary Clinton","Illinois","164355","222499"
"Fairfield","9001","CT","0.9933","410279","Hillary Clinton","Connecticut","155457","238723"
"Montgomery","24031","MD","1.0","408300","Hillary Clinton","Maryland","82985","309761"
"Fulton","13121","GA","1.0","407173","Hillary Clinton","Georgia","110372","281875"
"Hartford","9003","CT","1.0","399219","Hillary Clinton","Connecticut","147912","233789"
"Hamilton","39061","OH","1.0","395000","Hillary Clinton","Ohio","169972","207587"
"Bergen","34003","NJ","1.0","383965","Hillary Clinton","New Jersey","163220","209251"
"Erie","36029","NY","0.9773000000000001","383248","Hillary Clinton","New York","173817","192065"
"Worcester","25027","MA","1.0","380972","Hillary Clinton","Massachusetts","157138","197126"
"Westchester","36119","NY","0.9904999999999999","378506","Hillary Clinton","New York","121643","245670"
"Essex","25009","MA","1.0","376140","Hillary Clinton","Massachusetts","135405","220027"
"New Haven","9009","CT","1.0","375909","Hillary Clinton","Connecticut","158373","203601"
"San Francisco","6075","CA","1.0","365295","Hillary Clinton","California","34493","312443"
"Salt Lake","49035","UT","0.9181","361347","Hillary Clinton","Utah","117901","154831"
"Marion","18097","IN","1.0","361070","Hillary Clinton","Indiana","130228","212676"
"Pima","4019","AZ","1.0","360762","Hillary Clinton","Arizona","147019","195649"
"Bronx","36005","NY","1.0","358857","Hillary Clinton","New York","34424","318403"
"Norfolk","25021","MA","1.0","357781","Hillary Clinton","Massachusetts","119171","219129"
"Multnomah","41051","OR","0.8937999999999999","357762","Hillary Clinton","Oregon","63055","271754"
"Collin","48085","TX","1.0","356545","Donald Trump","Texas","200395","139837"
"Jefferson","21111","KY","1.0","352934","Hillary Clinton","Kentucky","143758","190824"
"Prince George's","24033","MD","1.0","351091","Hillary Clinton","Maryland","29290","313627"
"Bucks","42017","PA","1.0","342572","Hillary Clinton","Pennsylvania","163873","165861"
"Baltimore","24005","MD","1.0","335017","Hillary Clinton","Maryland","131009","189437"
"Shelby","47157","TN","1.0","331861","Hillary Clinton","Tennessee","114948","206640"
"Cobb","13067","GA","1.0","326424","Hillary Clinton","Georgia","152602","159416"
"Lee","12071","FL","1.0","325797","Donald Trump","Florida","191141","124725"
"Gwinnett","13135","GA","1.0","323931","Hillary Clinton","Georgia","146463","165063"
"Pierce","53053","WA","0.9339","322592","Hillary Clinton","Washington","136046","160306"
"Monroe","36055","NY","1.0","320164","Hillary Clinton","New York","128871","174063"
"Brevard","12009","FL","1.0","314337","Donald Trump","Florida","181620","119525"
"El Paso","8041","CO","1.0","313273","Donald Trump","Colorado","176506","105807"
"Monmouth","34025","NJ","1.0","311474","Donald Trump","New Jersey","165305","135825"
"Jefferson","8059","CO","1.0","309529","Hillary Clinton","Colorado","130233","151885"
"Snohomish","53061","WA","0.9014","309496","Hillary Clinton","Washington","116433","167943"
"Ventura","6111","CA","1.0","307881","Hillary Clinton","California","118764","170489"
"Kent","26081","MI","1.0","306270","Donald Trump","Michigan","147959","138567"
"Dane","55025","WI","1.0","304729","Hillary Clinton","Wisconsin","71270","217506"
"Suffolk","25025","MA","1.0","303517","Hillary Clinton","Massachusetts","50042","241212"
"Essex","34013","NJ","0.9764","299808","Hillary Clinton","New Jersey","62059","231031"
"DeKalb","13089","GA","1.0","295871","Hillary Clinton","Georgia","47531","239131"
"Jackson","29095","MO","1.0","294063","Hillary Clinton","Missouri","114777","163723"
"Lake","17097","IL","1.0","293574","Hillary Clinton","Illinois","108608","168186"
"Denton","48121","TX","0.9812000000000001","293287","Donald Trump","Texas","169175","110000"
"Will","17197","IL","1.0","291010","Hillary Clinton","Illinois","129726","146230"
"Jefferson","1073","AL","1.0","290111","Hillary Clinton","Alabama","130614","151581"
"San Mateo","6081","CA","1.0","287499","Hillary Clinton","California","53731","219580"
"Honolulu","15003","HI","1.0","285683","Hillary Clinton","Hawaii","90296","175634"
"Delaware","42045","PA","0.9976999999999999","284832","Hillary Clinton","Pennsylvania","106559","169169"
"Polk","12105","FL","1.0","283828","Donald Trump","Florida","157216","117182"
"Middlesex","34023","NJ","1.0","282668","Hillary Clinton","New Jersey","108981","164887"
"Arapahoe","8005","CO","1.0","281658","Hillary Clinton","Colorado","109638","148365"
"District of Columbia","11001","DC","1.0","280272","Hillary Clinton","NA","11553","260223"
"Johnson","20091","KS","1.0","279753","Donald Trump","Kansas","133907","126324"
"Oklahoma","40109","OK","1.0","273609","Donald Trump","Oklahoma","141429","112661"
"Bernalillo","35001","NM","1.0","272004","Hillary Clinton","New Mexico","93874","141960"
"Ramsey","27123","MN","1.0","269161","Hillary Clinton","Minnesota","70778","176929"
"Chester","42029","PA","1.0","266637","Hillary Clinton","Pennsylvania","115582","140188"
"Plymouth","25023","MA","1.0","264168","Hillary Clinton","Massachusetts","114722","133828"
"New Castle","10003","DE","1.0","261468","Hillary Clinton","Delaware","85507","162905"
"Fort Bend","48157","TX","1.0","260367","Hillary Clinton","Texas","117212","134475"
"Volusia","12127","FL","1.0","260304","Donald Trump","Florida","142763","108793"
"Ocean","34029","NJ","1.0","259592","Donald Trump","New Jersey","170103","81845"
"Guilford","37081","NC","1.0","252087","Hillary Clinton","North Carolina","97461","147949"
"Fresno","6019","CA","1.0","250264","Hillary Clinton","California","113949","123660"
"Summit","39153","OH","1.0","249937","Hillary Clinton","Ohio","109531","129922"
"Montgomery","39113","OH","1.0","249560","Donald Trump","Ohio","120766","117661"
"Morris","34027","NJ","1.0","248848","Donald Trump","New Jersey","125376","114437"
"Tulsa","40143","OK","1.0","246557","Donald Trump","Oklahoma","143985","87663"
"Davidson","47037","TN","1.0","246199","Hillary Clinton","Tennessee","84365","148473"
"Bristol","25005","MA","1.0","246068","Hillary Clinton","Massachusetts","104775","127619"
"Anne Arundel","24003","MD","1.0","242939","Hillary Clinton","Maryland","114509","116074"
"Providence","44007","RI","1.0","242179","Hillary Clinton","Rhode Island","90321","141597"
"Pasco","12101","FL","1.0","240814","Donald Trump","Florida","141943","89998"
"Lancaster","42071","PA","1.0","239151","Donald Trump","Pennsylvania","137145","90066"
"Waukesha","55133","WI","1.0","233273","Donald Trump","Wisconsin","142521","79200"
"Denver","8031","CO","1.0","232291","Hillary Clinton","Colorado","43637","174611"
"Washington","41067","OR","1.0","232034","Hillary Clinton","Oregon","75903","137818"
"Dakota","27037","MN","1.0","228659","Hillary Clinton","Minnesota","99624","110251"
"Sarasota","12115","FL","1.0","228509","Donald Trump","Florida","124098","97676"
"Polk","19153","IA","1.0","228420","Hillary Clinton","Iowa","93421","119671"
"Seminole","12117","FL","1.0","224377","Donald Trump","Florida","109265","105611"
"Camden","34007","NJ","0.9913","220437","Hillary Clinton","New Jersey","71020","142375"
"Douglas","31055","NE","1.0","219531","Hillary Clinton","Nebraska","102151","105207"
"Union","34039","NJ","1.0","219385","Hillary Clinton","New Jersey","67582","145412"
"Kern","6029","CA","1.0","217725","Donald Trump","California","119164","86481"
"Greenville","45045","SC","1.0","211572","Donald Trump","South Carolina","125595","73338"
"Hillsborough","33011","NH","1.0","210844","Donald Trump","New Hampshire","100013","99589"
"El Paso","48141","TX","1.0","210458","Hillary Clinton","Texas","54567","145509"
"Washoe","32031","NV","1.0","209282","Hillary Clinton","Nevada","94529","97032"
"Baltimore city","24510","MD","0.9932","208980","Hillary Clinton","Maryland","22726","178562"
"Spokane","53063","WA","0.9103","208081","Donald Trump","Washington","103846","86590"
"York","42133","PA","1.0","203153","Donald Trump","Pennsylvania","126933","67428"
"Montgomery","48339","TX","1.0","203083","Donald Trump","Texas","150188","45744"
"Hudson","34017","NJ","0.9511","201425","Hillary Clinton","New Jersey","45615","149980"
"Williamson","48491","TX","1.0","200524","Donald Trump","Texas","104029","84252"
"Lake","18089","IN","1.0","200247","Hillary Clinton","Indiana","75565","116896"
"Hampden","25013","MA","1.0","200220","Hillary Clinton","Massachusetts","78230","110313"
"St. Charles","29183","MO","1.0","199513","Donald Trump","Missouri","120899","68225"
"East Baton Rouge Parish","22033","LA","1.0","196332","Hillary Clinton","Louisiana","84620","102711"
"Genesee","26049","MI","1.0","196135","Hillary Clinton","Michigan","84174","102744"
"Clark","53011","WA","0.968","195784","Hillary Clinton","Washington","90590","90697"
"Ada","16001","ID","1.0","195587","Donald Trump","Idaho","93748","75676"
"Burlington","34005","NJ","0.9863","194988","Hillary Clinton","New Jersey","79539","108361"
"Larimer","8069","CO","1.0","193897","Hillary Clinton","Colorado","82624","92170"
"Kane","17089","IL","1.0","193500","Hillary Clinton","Illinois","82087","99389"
"Onondaga","36067","NY","1.0","191962","Hillary Clinton","New York","78277","102915"
"Lucas","39095","OH","1.0","191684","Hillary Clinton","Ohio","74102","107363"
"Passaic","34031","NJ","0.9858","189099","Hillary Clinton","New Jersey","71488","112608"
"Washtenaw","26161","MI","1.0","187201","Hillary Clinton","Michigan","50335","128025"
"Anoka","27003","MN","1.0","184084","Donald Trump","Minnesota","93341","75499"
"Douglas","8035","CO","1.0","182918","Donald Trump","Colorado","100178","67045"
"Clackamas","41005","OR","1.0","182136","Hillary Clinton","Oregon","79062","90187"
"Westmoreland","42129","PA","1.0","181740","Donald Trump","Pennsylvania","116427","59506"
"Jefferson Parish","22051","LA","1.0","181388","Donald Trump","Louisiana","100292","73540"
"Lane","41039","OR","1.0","181072","Hillary Clinton","Oregon","66218","100497"
"Sedgwick","20173","KS","1.0","180750","Donald Trump","Kansas","101319","66716"
"Loudoun","51107","VA","1.0","180265","Hillary Clinton","Virginia","69633","99909"
"Knox","47093","TN","1.0","179266","Donald Trump","Tennessee","105724","62861"
"Rockingham","33015","NH","1.0","179138","Donald Trump","New Hampshire","90447","79994"
"Manatee","12081","FL","1.0","178521","Donald Trump","Florida","101681","71066"
"Boulder","8013","CO","1.0","176735","Hillary Clinton","Colorado","38766","124715"
"Berks","42011","PA","1.0","175934","Donald Trump","Pennsylvania","93094","75169"
"Charleston","45019","SC","1.0","175850","Hillary Clinton","South Carolina","75233","89048"
"Chesterfield","51041","VA","1.0","175288","Donald Trump","Virginia","84938","80993"
"Adams","8001","CO","1.0","175125","Hillary Clinton","Colorado","73807","86471"
"Utah","49049","UT","1.0","174942","Donald Trump","Utah","89755","24579"
"Marion","12083","FL","1.0","174485","Donald Trump","Florida","107710","61958"
"Hidalgo","48215","TX","1.0","172990","Hillary Clinton","Texas","48608","118739"
"Forsyth","37067","NC","1.0","172509","Hillary Clinton","North Carolina","74793","92488"
"Virginia Beach city","51810","VA","1.0","171876","Donald Trump","Virginia","84389","76744"
"Cumberland","23005","ME","1.0","171249","Hillary Clinton","Maine","57697","102935"
"Stark","39151","OH","1.0","170868","Donald Trump","Ohio","96345","66581"
"Collier","12021","FL","1.0","170505","Donald Trump","Florida","105297","60941"
"Lake","12069","FL","1.0","169898","Donald Trump","Florida","101888","62597"
"Richland","45079","SC","1.0","169400","Hillary Clinton","South Carolina","52753","108401"
"Butler","39017","OH","1.0","168422","Donald Trump","Ohio","104441","56700"
"Richmond","36085","NY","1.0","167209","Donald Trump","New York","95612","67561"
"San Joaquin","6077","CA","1.0","166647","Hillary Clinton","California","68316","89791"
"Orleans Parish","22071","LA","1.0","165619","Hillary Clinton","Louisiana","24267","133833"
"Santa Barbara","6083","CA","1.0","164224","Hillary Clinton","California","53740","100120"
"Sonoma","6097","CA","1.0","164060","Hillary Clinton","California","37421","116027"
"Mobile","1097","AL","1.0","163387","Donald Trump","Alabama","91087","68429"
"Henrico","51087","VA","1.0","161966","Hillary Clinton","Virginia","59674","93615"
"Pulaski","5119","AR","1.0","159486","Hillary Clinton","Arkansas","61182","89377"
"Madison","1089","AL","1.0","159473","Donald Trump","Alabama","89199","62435"
"Stanislaus","6099","CA","1.0","156141","Hillary Clinton","California","72960","73939"
"Solano","6095","CA","1.0","156067","Hillary Clinton","California","49595","97159"
"Somerset","34035","NJ","1.0","154249","Hillary Clinton","New Jersey","64640","83839"
"Hamilton","18057","IN","1.0","153630","Donald Trump","Indiana","87299","57214"
"Lehigh","42077","PA","1.0","153031","Hillary Clinton","Pennsylvania","70285","77087"
"Leon","12073","FL","1.0","151925","Hillary Clinton","Florida","53777","91936"
"Escambia","12033","FL","1.0","151609","Donald Trump","Florida","88370","57114"
"Durham","37063","NC","1.0","150543","Hillary Clinton","North Carolina","27879","118783"
"Placer","6061","CA","1.0","150532","Donald Trump","California","78977","61969"
"Howard","24027","MD","1.0","146401","Hillary Clinton","Maryland","44792","93808"
"Allen","18003","IN","1.0","145787","Donald Trump","Indiana","83801","55222"
"Ottawa","26139","MI","1.0","145405","Donald Trump","Michigan","90456","46276"
"Prince William","51153","VA","0.9891","144854","Hillary Clinton","Virginia","54065","83093"
"Washington","27163","MN","1.0","142843","Hillary Clinton","Minnesota","64429","67086"
"Northampton","42095","PA","1.0","142775","Donald Trump","Pennsylvania","71384","65936"
"Mercer","34021","NJ","1.0","141332","Hillary Clinton","New Jersey","42604","93721"
"Hamilton","47065","TN","1.0","141088","Donald Trump","Tennessee","78661","55260"
"Orange","36071","NY","1.0","140753","Donald Trump","New York","72129","63037"
"St. Lucie","12111","FL","1.0","140731","Donald Trump","Florida","70248","66812"
"McHenry","17111","IL","1.0","140145","Donald Trump","Illinois","71117","59827"
"Osceola","12097","FL","1.0","139981","Hillary Clinton","Florida","50252","85287"
"Gloucester","34015","NJ","1.0","138388","Donald Trump","New Jersey","66949","66355"
"Lorain","39093","OH","1.0","136654","Donald Trump","Ohio","65346","64958"
"St. Johns","12109","FL","1.0","136392","Donald Trump","Florida","88633","43037"
"Fayette","21067","KY","1.0","136239","Hillary Clinton","Kentucky","56890","69776"
"Buncombe","37021","NC","1.0","134507","Hillary Clinton","North Carolina","55339","74937"
"Weld","8123","CO","1.0","133790","Donald Trump","Colorado","75882","45869"
"Ingham","26065","MI","1.0","133478","Hillary Clinton","Michigan","44354","81266"
"Luzerne","42079","PA","1.0","132731","Donald Trump","Pennsylvania","77508","51454"
"Barnstable","25001","MA","1.0","132667","Hillary Clinton","Massachusetts","53842","71632"
"Dauphin","42043","PA","1.0","130160","Hillary Clinton","Pennsylvania","60620","64287"
"Lancaster","31109","NE","1.0","129803","Hillary Clinton","Nebraska","60456","60533"
"Madison","17119","IL","1.0","127902","Donald Trump","Illinois","70295","50336"
"Alachua","12001","FL","1.0","127827","Hillary Clinton","Florida","46584","75370"
"Greene","29077","MO","1.0","127609","Donald Trump","Missouri","77387","42400"
"Brown","55009","WI","1.0","127497","Donald Trump","Wisconsin","67192","53358"
"St. Louis city","29510","MO","1.0","127403","Hillary Clinton","Missouri","20281","101487"
"Kalamazoo","26077","MI","1.0","125966","Hillary Clinton","Michigan","51031","67142"
"Albany","36001","NY","1.0","125644","Hillary Clinton","New York","44227","74775"
"San Luis Obispo","6079","CA","1.0","124575","Hillary Clinton","California","52672","63001"
"New London","9011","CT","1.0","124527","Hillary Clinton","Connecticut","54574","62951"
"Horry","45051","SC","1.0","124503","Donald Trump","South Carolina","83819","36731"
"Cumberland","37051","NC","1.0","124402","Hillary Clinton","North Carolina","50593","70523"
"St. Tammany Parish","22103","LA","1.0","124389","Donald Trump","Louisiana","90914","27716"
"Harford","24025","MD","1.0","124224","Donald Trump","Maryland","74261","43803"
"Galveston","48167","TX","1.0","123994","Donald Trump","Texas","73566","45503"
"Rockland","36087","NY","1.0","123943","Hillary Clinton","New York","57148","63454"
"Thurston","53067","WA","0.9390000000000001","122301","Hillary Clinton","Washington","46219","65015"
"Lexington","45063","SC","1.0","121829","Donald Trump","South Carolina","79866","35143"
"Spartanburg","45083","SC","1.0","120793","Donald Trump","South Carolina","76101","39888"
"Brazoria","48039","TX","1.0","120296","Donald Trump","Texas","72653","43075"
"Dutchess","36027","NY","1.0","120199","Donald Trump","New York","58163","56874"
"Arlington","51013","VA","1.0","119344","Hillary Clinton","Virginia","20155","91879"
"St. Clair","17163","IL","1.0","119201","Hillary Clinton","Illinois","53479","60180"
"Kitsap","53035","WA","0.9367","118625","Hillary Clinton","Washington","46762","60561"
"Erie","42049","PA","1.0","117240","Donald Trump","Pennsylvania","57168","54820"
"Cumberland","42041","PA","1.0","115068","Donald Trump","Pennsylvania","65649","44282"
"Frederick","24021","MD","1.0","114962","Donald Trump","Maryland","56472","51891"
"Linn","19113","IA","1.0","114664","Hillary Clinton","Iowa","48183","58481"
"Warren","39165","OH","1.0","114254","Donald Trump","Ohio","75947","33036"
"York","23031","ME","1.0","113962","Hillary Clinton","Maine","50388","55828"
"Santa Cruz","6087","CA","1.0","113509","Hillary Clinton","California","20158","85185"
"York","45091","SC","1.0","113425","Donald Trump","South Carolina","66245","41230"
"Winnebago","17201","IL","1.0","113027","Donald Trump","Illinois","53922","52595"
"Mahoning","39099","OH","1.0","112827","Hillary Clinton","Ohio","52808","56188"
"Lake","39085","OH","1.0","112790","Donald Trump","Ohio","62627","45056"
"Chesapeake city","51550","VA","1.0","111827","Donald Trump","Virginia","53988","52554"
"St. Louis","27137","MN","1.0","111260","Hillary Clinton","Minnesota","44631","57769"
"Cherokee","13057","GA","1.0","110825","Donald Trump","Georgia","80611","25203"
"Marion","41047","OR","1.0","110804","Donald Trump","Oregon","54336","48803"
"Marin","6041","CA","1.0","109941","Hillary Clinton","California","17531","86650"
"St. Joseph","18141","IN","1.0","109452","Hillary Clinton","Indiana","52019","52247"
"Cleveland","40027","OK","1.0","109326","Donald Trump","Oklahoma","62469","38790"
"Clay","29047","MO","1.0","109237","Donald Trump","Missouri","57328","45182"
"New Hanover","37129","NC","1.0","108737","Donald Trump","North Carolina","54665","50219"
"Whatcom","53073","WA","0.9843999999999999","108223","Hillary Clinton","Washington","40247","59402"
"Rutherford","47149","TN","1.0","106518","Donald Trump","Tennessee","64428","36627"
"Clay","12019","FL","1.0","106363","Donald Trump","Florida","74898","27768"
"Chatham","13051","GA","1.0","106013","Hillary Clinton","Georgia","43649","58998"
"Jefferson","29099","MO","1.0","105969","Donald Trump","Missouri","68973","31546"
"Sussex","10005","DE","1.0","105814","Donald Trump","Delaware","62607","39329"
"Atlantic","34001","NJ","1.0","105738","Hillary Clinton","New Jersey","47882","54472"
"Caddo Parish","22017","LA","1.0","105737","Hillary Clinton","Louisiana","48977","53448"
"Lafayette Parish","22055","LA","1.0","105599","Donald Trump","Louisiana","68191","32726"
"Livingston","26093","MI","1.0","105577","Donald Trump","Michigan","65665","34378"
"Williamson","47187","TN","1.0","104700","Donald Trump","Tennessee","68160","30992"
"Davis","49011","UT","0.8358","104661","Donald Trump","Utah","46985","22575"
"Saratoga","36091","NY","1.0","104089","Donald Trump","New York","51088","46546"
"Nueces","48355","TX","1.0","103958","Donald Trump","Texas","50704","49102"
"Jackson","41029","OR","1.0","103789","Donald Trump","Oregon","53083","43550"
"Union","37179","NC","1.0","103596","Donald Trump","North Carolina","66265","34051"
"Lackawanna","42069","PA","1.0","102740","Hillary Clinton","Pennsylvania","48102","51593"
"Okaloosa","12091","FL","1.0","100657","Donald Trump","Florida","71788","23711"
"Delaware","39041","OH","1.0","100101","Donald Trump","Ohio","55660","39584"
"Shelby","1117","AL","1.0","99208","Donald Trump","Alabama","72846","22927"
"Lubbock","48303","TX","1.0","98060","Donald Trump","Texas","65566","27956"
"Henry","13151","GA","1.0","98037","Hillary Clinton","Georgia","45641","49902"
"Litchfield","9005","CT","1.0","97434","Donald Trump","Connecticut","53376","39836"
"Forsyth","13117","GA","1.0","97314","Donald Trump","Georgia","69801","23427"
"Washington","42125","PA","1.0","96945","Donald Trump","Pennsylvania","58941","34436"
"Monterey","6053","CA","1.0","96676","Hillary Clinton","California","26378","64733"
"Benton","5007","AR","1.0","96556","Donald Trump","Arkansas","60751","27894"
"Sangamon","17167","IL","1.0","96472","Donald Trump","Illinois","49823","40731"
"Clermont","39025","OH","1.0","96455","Donald Trump","Ohio","65960","26096"
"Charlotte","12015","FL","1.0","96323","Donald Trump","Florida","60196","33421"
"Gaston","37071","NC","1.0","94872","Donald Trump","North Carolina","61467","30982"
"Richmond city","51760","VA","1.0","94724","Hillary Clinton","Virginia","14254","74640"
"Montgomery","1101","AL","1.0","94572","Hillary Clinton","Alabama","33928","58669"
"Tulare","6107","CA","1.0","94571","Donald Trump","California","50488","39099"
"Saginaw","26145","MI","1.0","94198","Donald Trump","Michigan","45469","44395"
"Baldwin","1003","AL","1.0","94090","Donald Trump","Alabama","72780","18409"
"Trumbull","39155","OH","1.0","94073","Donald Trump","Ohio","48152","42130"
"Bell","48027","TX","1.0","93999","Donald Trump","Texas","51780","37608"
"Hernando","12053","FL","1.0","93878","Donald Trump","Florida","59029","31818"
"Pinal","4021","AZ","1.0","93805","Donald Trump","Arizona","53857","35737"
"Racine","55101","WI","1.0","93678","Donald Trump","Wisconsin","46620","42506"
"Outagamie","55087","WI","1.0","93474","Donald Trump","Wisconsin","49884","38087"
"Yavapai","4025","AZ","1.0","92780","Donald Trump","Arizona","58862","29705"
"Butler","42019","PA","1.0","92027","Donald Trump","Pennsylvania","61388","26834"
"Cameron","48061","TX","1.0","91804","Hillary Clinton","Texas","29432","59319"
"Hinds","28049","MS","1.0","91536","Hillary Clinton","Mississippi","24919","64922"
"Cabarrus","37025","NC","1.0","91002","Donald Trump","North Carolina","53224","35048"
"Deschutes","41017","OR","1.0","90584","Donald Trump","Oregon","43667","40222"
"Medina","39103","OH","1.0","89360","Donald Trump","Ohio","53811","31582"
"Clayton","13063","GA","1.0","89236","Hillary Clinton","Georgia","11740","75908"
"El Dorado","6017","CA","1.0","89228","Donald Trump","California","47633","35243"
"Champaign","17019","IL","1.0","89196","Hillary Clinton","Illinois","33235","49694"
"Middlesex","9007","CT","1.0","88402","Hillary Clinton","Connecticut","38847","45306"
"Butte","6007","CA","1.0","87847","Donald Trump","California","42193","38676"
"Santa Rosa","12113","FL","1.0","87432","Donald Trump","Florida","65126","18398"
"Jefferson","48245","TX","1.0","87363","Donald Trump","Texas","42828","42404"
"Bay","12005","FL","1.0","87151","Donald Trump","Florida","62010","21689"
"Niagara","36063","NY","1.0","86000","Donald Trump","New York","49223","32888"
"Winnebago","55139","WI","1.0","85892","Donald Trump","Wisconsin","43447","37054"
"Martin","12085","FL","1.0","85741","Donald Trump","Florida","53182","30158"
"Carroll","24013","MD","1.0","84879","Donald Trump","Maryland","55593","24314"
"Scott","19163","IA","1.0","84878","Hillary Clinton","Iowa","39083","40302"
"Johnston","37101","NC","1.0","84553","Donald Trump","North Carolina","54082","28153"
"Oneida","36065","NY","1.0","83876","Donald Trump","New York","48490","30749"
"Calcasieu Parish","22019","LA","1.0","83773","Donald Trump","Louisiana","54182","26293"
"Boone","29019","MO","1.0","83312","Hillary Clinton","Missouri","36146","41072"
"Smith","48423","TX","1.0","83161","Donald Trump","Texas","58631","22128"
"Hampshire","25015","MA","1.0","82329","Hillary Clinton","Massachusetts","22089","54572"
"Merrimack","33013","NH","1.0","82041","Hillary Clinton","New Hampshire","37674","40198"
"Tuscaloosa","1125","AL","1.0","81708","Donald Trump","Alabama","47701","31746"
"Weber","49057","UT","1.0","81451","Donald Trump","Utah","38447","22187"
"Iredell","37097","NC","1.0","80727","Donald Trump","North Carolina","54164","24441"
"Anderson","45007","SC","1.0","80296","Donald Trump","South Carolina","56109","21040"
"Penobscot","23019","ME","1.0","80228","Donald Trump","Maine","41601","32832"
"Indian River","12061","FL","1.0","79897","Donald Trump","Florida","48564","28997"
"Orange","37135","NC","1.0","79830","Hillary Clinton","North Carolina","18373","59105"
"Kent","44003","RI","1.0","79822","Donald Trump","Rhode Island","38141","37582"
"Greene","39057","OH","1.0","79633","Donald Trump","Ohio","47506","28023"
"Citrus","12017","FL","1.0","79590","Donald Trump","Florida","54377","22765"
"Washington","5143","AR","1.0","79543","Donald Trump","Arkansas","40418","32296"
"Licking","39089","OH","1.0","79399","Donald Trump","Ohio","49346","26360"
"Olmsted","27109","MN","1.0","79277","Hillary Clinton","Minnesota","35668","36266"
"Beaver","42007","PA","1.0","79036","Donald Trump","Pennsylvania","46081","30225"
"McLean","17113","IL","1.0","78995","Donald Trump","Illinois","37081","35918"
"Stearns","27145","MN","1.0","78985","Donald Trump","Minnesota","47618","25575"
