"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"White Pine","32033","NV","1.0","3773","Donald Trump","Nevada","2723","707"
"Huerfano","8055","CO","1.0","3772","Donald Trump","Colorado","1875","1631"
"Crook","56011","WY","1.0","3771","Donald Trump","Wyoming","3347","271"
"Runnels","48399","TX","1.0","3765","Donald Trump","Texas","3241","452"
"Adair","19001","IA","1.0","3759","Donald Trump","Iowa","2456","1127"
"Candler","13043","GA","1.0","3757","Donald Trump","Georgia","2661","1023"
"Newton","5101","AR","1.0","3753","Donald Trump","Arkansas","2875","699"
"Pepin","55091","WI","1.0","3746","Donald Trump","Wisconsin","2228","1345"
"Charles City","51036","VA","1.0","3745","Hillary Clinton","Virginia","1381","2244"
"Wayne","31179","NE","1.0","3740","Donald Trump","Nebraska","2675","828"
"Searcy","5129","AR","1.0","3728","Donald Trump","Arkansas","2955","601"
"Clay","20027","KS","1.0","3727","Donald Trump","Kansas","2831","665"
"Washakie","56043","WY","1.0","3715","Donald Trump","Wyoming","2911","532"
"Goliad","48175","TX","1.0","3713","Donald Trump","Texas","2618","973"
"Merrick","31121","NE","1.0","3707","Donald Trump","Nebraska","2914","601"
"Decatur","19053","IA","1.0","3703","Donald Trump","Iowa","2296","1201"
"Cameron Parish","22023","LA","1.0","3692","Donald Trump","Louisiana","3256","323"
"Daviess","29061","MO","1.0","3689","Donald Trump","Missouri","2763","730"
"Johnson","13167","GA","1.0","3682","Donald Trump","Georgia","2519","1136"
"Harrison","29081","MO","1.0","3682","Donald Trump","Missouri","2965","574"
"Richardson","31147","NE","1.0","3666","Donald Trump","Nebraska","2684","798"
"Woods","40151","OK","1.0","3665","Donald Trump","Oklahoma","2945","521"
"Rolette","38079","ND","1.0","3662","Hillary Clinton","North Dakota","1210","2097"
"Irwin","13155","GA","1.0","3659","Donald Trump","Georgia","2711","890"
"Benton","18007","IN","1.0","3654","Donald Trump","Indiana","2579","860"
"Bradley","5011","AR","1.0","3652","Donald Trump","Arkansas","2163","1317"
"Richmond","51159","VA","1.0","3651","Donald Trump","Virginia","2213","1347"
"Switzerland","18155","IN","1.0","3639","Donald Trump","Indiana","2558","930"
"Coleman","48083","TX","1.0","3635","Donald Trump","Texas","3177","387"
"Tyler","54095","WV","1.0","3621","Donald Trump","West Virginia","2967","505"
"Pocahontas","54075","WV","1.0","3619","Donald Trump","West Virginia","2474","924"
"King and Queen","51097","VA","1.0","3615","Donald Trump","Virginia","2059","1451"
"Kit Carson","8063","CO","1.0","3613","Donald Trump","Colorado","2894","526"
"Hamilton","48193","TX","1.0","3609","Donald Trump","Texas","3056","479"
"Evans","13109","GA","1.0","3602","Donald Trump","Georgia","2404","1130"
"Humphreys","28053","MS","1.0","3599","Hillary Clinton","Mississippi","924","2652"
"Pulaski","13235","GA","1.0","3598","Donald Trump","Georgia","2436","1104"
"Ida","19093","IA","1.0","3590","Donald Trump","Iowa","2655","792"
"Pierce","31139","NE","1.0","3580","Donald Trump","Nebraska","3052","382"
"Dawes","31045","NE","1.0","3578","Donald Trump","Nebraska","2559","785"
"Allendale","45005","SC","1.0","3578","Hillary Clinton","South Carolina","788","2722"
"Seminole","13253","GA","1.0","3577","Donald Trump","Georgia","2343","1186"
"Gilpin","8047","CO","1.0","3574","Hillary Clinton","Colorado","1564","1634"
"Hancock","13141","GA","1.0","3572","Hillary Clinton","Georgia","841","2695"
"Rice","20159","KS","1.0","3567","Donald Trump","Kansas","2652","668"
"Quay","35037","NM","1.0","3567","Donald Trump","New Mexico","2208","1016"
"Fall River","46047","SD","1.0","3563","Donald Trump","South Dakota","2511","821"
"San Augustine","48405","TX","1.0","3563","Donald Trump","Texas","2620","907"
"Grant","46051","SD","1.0","3562","Donald Trump","South Dakota","2381","970"
"Dawson","48115","TX","1.0","3562","Donald Trump","Texas","2636","835"
"Montgomery","13209","GA","1.0","3560","Donald Trump","Georgia","2668","847"
"Ferry","53019","WA","1.0","3560","Donald Trump","Washington","2178","1091"
"Fremont","19071","IA","1.0","3554","Donald Trump","Iowa","2401","959"
"Bracken","21023","KY","1.0","3527","Donald Trump","Kentucky","2711","705"
"Van Buren","19177","IA","1.0","3526","Donald Trump","Iowa","2524","843"
"Burt","31021","NE","1.0","3523","Donald Trump","Nebraska","2360","928"
"Roosevelt","30085","MT","1.0","3502","Donald Trump","Montana","1722","1504"
"Kiowa","40075","OK","1.0","3489","Donald Trump","Oklahoma","2593","766"
"Baraga","26013","MI","1.0","3486","Donald Trump","Michigan","2158","1156"
"Thomas","20193","KS","1.0","3483","Donald Trump","Kansas","2832","467"
"Wilson","20205","KS","1.0","3482","Donald Trump","Kansas","2747","550"
"Kane","49025","UT","1.0","3482","Donald Trump","Utah","2248","739"
"Henderson","17071","IL","1.0","3480","Donald Trump","Illinois","2153","1151"
"Iron","55051","WI","1.0","3477","Donald Trump","Wisconsin","2090","1273"
