year,count,name,percentage,total_per_year
1950,6034,Elaine,0.0018110906944035076,3331694
1950,5822,Vicki,0.0017474594005331822,3331694
1950,5809,Sherry,0.0017435574815694358,3331694
1950,5760,Albert,0.0017288502485522379,3331694
1950,5747,Jimmy,0.0017249483295884917,3331694
1950,5727,Laura,0.001718945377336574,3331694
1950,5679,Jo,0.0017045382919319721,3331694
1950,5669,Billy,0.0017015368158060135,3331694
1950,5623,Theresa,0.0016877300256266032,3331694
1950,5565,Ellen,0.0016703214640960424,3331694
1950,5488,Joanne,0.00164721009792616,3331694
1950,5481,Eugene,0.001645109064637989,3331694
1950,5461,Glenn,0.0016391061123860716,3331694
1950,5455,Stanley,0.0016373052267104962,3331694
1950,5399,Marsha,0.0016204969604051273,3331694
1950,5374,Harry,0.0016129932700902304,3331694
1950,5374,Rose,0.0016129932700902304,3331694
1950,5323,Sheila,0.0015976857418478407,3331694
1950,5268,Suzanne,0.0015811776231550677,3331694
1950,5225,Samuel,0.001568271275813445,3331694
1950,5221,Marie,0.0015670706853630615,3331694
1950,5164,Howard,0.0015499622714450966,3331694
1950,5096,Bobby,0.0015295522337885773,3331694
1950,5065,Maria,0.001520247657798105,3331694
1950,5056,Phillip,0.0015175463292847423,3331694
1950,5045,Doris,0.0015142447055461875,3331694
1950,5025,Cathy,0.00150824175329427,3331694
1950,4952,Louis,0.0014863309775747712,3331694
1950,4948,Marcia,0.0014851303871243878,3331694
1950,4939,Russell,0.0014824290586110248,3331694
1950,4932,Andrew,0.0014803280253228538,3331694
1950,4886,Craig,0.0014665212351434435,3331694
1950,4869,Sally,0.0014614187257293136,3331694
1950,4842,Christopher,0.0014533147401892251,3331694
1950,4839,Randall,0.0014524142973514375,3331694
1950,4837,Allen,0.0014518140021262456,3331694
1950,4830,Darlene,0.0014497129688380746,3331694
1950,4772,Ronnie,0.0014323044073075138,3331694
1950,4753,Kevin,0.0014266016026681923,3331694
1950,4730,Charlotte,0.001419698207578487,3331694
1950,4723,Teresa,0.0014175971742903159,3331694
1950,4694,Barry,0.0014088928935250356,3331694
1950,4659,Frederick,0.00139838772708418,3331694
1950,4584,Leonard,0.0013758766561394894,3331694
1950,4568,Keith,0.0013710742943379554,3331694
1950,4507,Denise,0.0013527652899696071,3331694
1950,4504,Lois,0.0013518648471318195,3331694
1950,4482,Randy,0.0013452615996547102,3331694
1950,4451,Anne,0.0013359570236642381,3331694
1950,4441,Leslie,0.0013329555475382793,3331694
1950,4440,Brian,0.0013326553999256834,3331694
1950,4440,Constance,0.0013326553999256834,3331694
1950,4385,Lee,0.0013161472812329104,3331694
1950,4309,Ernest,0.0012933360626756238,3331694
1950,4285,Francis,0.0012861325199733228,3331694
1950,4270,Scott,0.0012816303057843848,3331694
1950,4270,Evelyn,0.0012816303057843848,3331694
1950,4201,Glenda,0.0012609201205152694,3331694
1950,4198,Fred,0.0012600196776774819,3331694
1950,4193,Steve,0.0012585189396145024,3331694
1950,4179,Martin,0.00125431687303816,3331694
