"year","name","primarykey","rank","citizenship","countrycode","networthusbillion","selfmade","typeofwealth","gender","age","industry","IndustryAggregates","region","north","politicalconnection","founder","generationofinheritance","sector","company","companytype","relationshiptocompany","foundingdate","gdpcurrentus","sourceofwealth","notes","notes2","source","source_2","source_3","source_4","window","column1"
"2014","Robert Kraft","robert kraft","580","United States","USA","2.9","self-made","founder non-finance","male","72","Other","0","North America","1","","1","0","paper products","International Forest Products","new","founder","1972","","New England Patriots","","","http://en.wikipedia.org/wiki/Robert_Kraft","http://www.bloomberg.com/research/stocks/private/person.asp?personId=34734977&privcapId=32098","","","robert johnson","false"
"2001","Robert McLane","robert mclane","452","United States","USA","1.1","inherited","inherited","male","64","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","Third generation","groceries","McLane Company","new","relation","1894","10621800000000","","3rd generation","","http://www.forbes.com/business/lists/2006/10/TQLT.html","","","","robert kraft","false"
"2014","Robert McNair","robert mcnair","869","United States","USA","2","self-made","privatized and resources","male","77","Energy","Resource Related","North America","1","","1","0","cogeneration","Cogen Technologies","new","founder","1983","","energy, sports","","","http://en.wikipedia.org/wiki/Bob_McNair","http://www.mcnairedfoundation.org/about_us/meet_the_mc_nairs","http://espn.go.com/nfl/story/_/id/7238813/nfl-typical-game-day-robert-mcnair-owner-houston-texans","","robert mclane","false"
"2001","Robert Naify","robert naify","234","United States","USA","2","inherited","inherited","male","79","0","0","North America","1","","0","inherited from father","movie theatres","","new","relation","1912","10621800000000","","inherited from father","","http://en.wikipedia.org/wiki/Robert_Naify","BUSINESS PEOPLE;Sale of Their Company Puts Naifys in Spotlight The New York Times July 16, 1986, Wednesday, Late City Final Edition","","","robert mcnair","false"
"2014","Robert Pera","robert pera","642","United States","USA","2.7","self-made","founder non-finance","male","35","Technology-Computer","New Sectors","North America","1","","1","0","wireless products","Ubiquiti Networks","new","founder","2005","","technology","","","http://en.wikipedia.org/wiki/Robert_J._Pera","http://en.wikipedia.org/wiki/Ubiquiti_Networks","http://www.bloomberg.com/bw/articles/2013-04-24/robert-pera-the-kid-that-bought-the-grizzlies","","robert naify","false"
"2014","Robert Piccinini","robert piccinini","1465","United States","USA","1.1","inherited","inherited","male","72","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","inherited from father","groceries","Save Mart","new","relation","1952","","supermarkets","bought from father/uncle in 1985, 10 or so stores ","","http://www.forbes.com/profile/robert-piccinini/","http://www.savemart.com/about-us","","","robert pera","false"
"1996","Robert Pritzker","robert pritzker","101","United States","USA","3","inherited","inherited","male","69","Real Estate","Financial","North America","1","","0","inherited from father","hotels","Hyatt","aquired","relation","1957","8100200000000","","inherited from father","head of Pritzker Group, former head of Marmon companies","http://www.nytimes.com/2011/10/31/business/robert-a-pritzker-dies-at-85-family-conglomerate-included-hyatt.html?_r=0","","","","robert piccinini","false"
"2014","Robert Rich, Jr.","robert rich jr","551","United States","USA","3","inherited","inherited","male","73","Consumer","Traded Sectors","North America","1","","0","inherited from father","frozen foods","Rich Products Corporation","new","relation","1945","","frozen foods","inherited from father","","http://en.wikipedia.org/wiki/Robert_E._Rich,_Jr.","RICH PRODUCTS MARKS 60TH YEAR; COMPANY PLANS MAJOR GROWTH IN YEARS AHEAD Buffalo News (New York) March 15, 2005 Tuesday","","","robert pritzker","false"
"2001","Robert Rich Sr","robert rich sr","292","United States","USA","1.7","self-made","founder non-finance","male","87","Consumer","Traded Sectors","North America","1","","1","0","food processing","Rich Products","new","founder","1945","10621800000000","","","","http://en.wikipedia.org/wiki/Robert_E._Rich,_Sr.","http://www.bizjournals.com/buffalo/stories/2006/02/13/daily37.html","","","robert rich jr","false"
"2001","Robert Rowling","robert rowling","182","United States","USA","2.5","self-made","self-made finance","male","47","Money Management","Financial","North America","1","","0","0","oil","Tana Exploration Company","new","relation","1980","10621800000000","","joined firm in 1981","","http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Robert-Rowling_Q4SB.html","Constructing a forune; 5th-richest Texan is building hotel near convention center Fort Worth Star-Telegram (Texas) September 24, 2006 Sunday","","","robert rich sr","false"
"2014","Robert Ziff","robert ziff","305","United States","USA","4.8","inherited","inherited","male","47","Diversified financial","Financial","North America","1","","0","Third generation","publishing","Ziff Davis Inc","new","relation","1928","","investments","3rd generation","no sisters","http://en.wikipedia.org/wiki/Ziff_Davis","http://en.wikipedia.org/wiki/William_Bernard_Ziff,_Jr.","http://www.wsj.com/articles/ziffs-shut-down-hedge-fund-shift-way-wealth-is-managed-1401319300?cb=logged0.6804022637661546","","robert rowling","false"
"2014","Rodney Lewis","rodney lewis","731","United States","USA","2.4","self-made","privatized and resources","male","60","Energy","Resource Related","North America","1","","1","0","oil and natural gas","Lewis Energy","new","founder","1983","","natural gas","","","http://en.wikipedia.org/wiki/Rodney_Lewis","http://www.expressnews.com/news/local_news/article/Wife-of-oil-baron-Lewis-files-for-divorce-4589398.php","","","robert ziff","false"
"2014","Roger Penske","roger penske","1270","United States","USA","1.4","self-made","founder non-finance","male","77","Consumer","Traded Sectors","North America","1","","1","0","automobiles","Penske Racing","new","founder","1965","","cars","","","http://en.wikipedia.org/wiki/Roger_Penske","http://www.autonews.com/article/20160214/RETAIL/302159923/the-power-of-roger-penske","","","rodney lewis","false"
"2001","Roger Sant","roger sant","292","United States","USA","1.7","self-made","privatized and resources","male","","Energy","Resource Related","North America","1","","1","0","energy","AES","new","founder","1981","10621800000000","","","","http://www.thedailybeast.com/articles/2010/05/19/washingtons-richest-power-players.html","","","","roger penske","false"
"2014","Roger Wang","roger wang","520","United States","USA","3.1","self-made","founder non-finance","male","65","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","retail","Golden Eagle International Group","new","founder","1992","","retail","","","http://en.wikipedia.org/wiki/Roger_Wang","http://www.nytimes.com/2006/06/15/business/15sbiz.html?fta=y","","","roger sant","false"
"2014","Romesh T. Wadhwani","romesh t wadhwani","796","United States","USA","2.2","self-made","founder non-finance","male","66","Technology-Computer","New Sectors","North America","1","","1","0","private equity","Symphony Technology Group","new","founder","2002","","software","","","http://en.wikipedia.org/wiki/Romesh_Wadhwani","http://en.wikipedia.org/wiki/Symphony_Technology_Group","http://www.bloomberg.com/research/stocks/private/person.asp?personId=601691&privcapId=8748185","","roger wang","false"
