"year","name","primarykey","rank","citizenship","countrycode","networthusbillion","selfmade","typeofwealth","gender","age","industry","IndustryAggregates","region","north","politicalconnection","founder","generationofinheritance","sector","company","companytype","relationshiptocompany","foundingdate","gdpcurrentus","sourceofwealth","notes","notes2","source","source_2","source_3","source_4","window","column1"
"2001","Abigail Johnson","abigail johnson","30","United States","USA","9.1","inherited","inherited","female","39","Money Management","Financial","North America","1","","0","Third generation","investment banking","Fidelity Investments","new","relation","1946","10621800000000","","3rd generation","no male siblings","http://en.wikipedia.org/wiki/Edward_Johnson,_III","https://www.fidelity.com/about-fidelity/our-heritage","","","a jerrold perenchio","false"
"2014","Aerin Lauder Zinterhofer","aerin lauder zinterhofer","1465","United States","USA","1.1","inherited","inherited","female","44","Consumer","Traded Sectors","North America","1","","0","Third generation","makeup","Estée Lauder","new","relation","1946","","inherited, cosmetics","3rd generation","","http://en.wikipedia.org/wiki/Jane_Lauder","http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=000718:CH","","","abigail johnson","false"
"2001","Alan Gerry","alan gerry","182","United States","USA","2.5","self-made","founder non-finance","male","71","Media","Non-Traded Sectors","North America","1","","1","0","media","Cablevision Industries","new","founder","1956","10621800000000","","","","http://en.wikipedia.org/wiki/Alan_Gerry","http://www.forbes.com/profile/alan-gerry/","Back to the Garden, Minus the Mud The New York Times July 1, 2006 Saturday","","aerin lauder zinterhofer","false"
"2001","Albert Ueltschi","albert ueltschi","452","United States","USA","1.1","self-made","founder non-finance","male","83","Other","0","North America","1","","1","0","commercial pilot training","FlightSafety International","new","founder","1951","10621800000000","","","","http://en.wikipedia.org/wiki/Albert_Lee_Ueltschi","Pilot made aviation-training firm a dynamo The Washington Post October 23, 2012 Tuesday","","","alan gerry","false"
"2001","Alberto Vilar","alberto vilar","490","United States","USA","1","self-made","self-made finance","male","","Money Management","Financial","North America","1","","1","0","investment banking","Amerindo Investment Advisors","new","founder","1980","10621800000000","","convicted for money laundering and fraud in 2008","","http://en.wikipedia.org/wiki/Alberto_Vilar","ARTS AND THE MAN The Miami Herald June 17, 2001 Sunday FINAL EDITION","http://money.cnn.com/2005/05/27/news/newsmakers/Vilar_investor/","","albert ueltschi","false"
"2014","Alec Gores","alec gores","869","United States","USA","2","self-made","self-made finance","male","60","Private equity/leveraged buyout","Financial","North America","1","","1","0","private equity","The Gores Group","new","founder","1987","","private equity","","","http://en.wikipedia.org/wiki/Alec_Gores","http://www.forbes.com/profile/alec-gores/","Fixer-upper pro loves a challenge USA TODAY March 5, 2002, Tuesday,","","alberto vilar","false"
"2014","Alexander Knaster","alexander knaster","828","United States","USA","2.1","self-made","privatized and resources","male","55","Energy","Resource Related","North America","1","","1","0","bank","Pamplona Capital Management","new","founder","2005","","oil, telecom, banking","","","http://en.wikipedia.org/wiki/Alexander_Knaster","http://www.forbes.com/profile/alexander-knaster/","http://www.bloomberg.com/profiles/people/1907097-alexander-m-knaster","","alec gores","false"
"2014","Alexander Rovt","alexander rovt","1465","United States","USA","1.1","self-made","executive","male","61","Consumer","Traded Sectors","North America","1","","0","0","fertilizers","IBE Trade","aquired","owner","1987","","fertilizer, real estate","","","http://en.wikipedia.org/wiki/Alexander_Rovt","http://www.ibetrade.com/","","","alexander knaster","false"
"2014","Alexander Spanos","alexander spanos","1465","United States","USA","1.1","self-made","self-made finance","male","90","Real Estate","Financial","North America","1","","1","0","real estate","A. G. Spanos Companies","new","founder","1960","","real estate","","","http://en.wikipedia.org/wiki/Alex_Spanos","http://www.forbes.com/profile/alexander-spanos/","http://articles.latimes.com/1985-03-11/sports/sp-34046_1_alex-spanos","","alexander rovt","false"
"2014","Alfred James Clark","alfred james clark","1092","United States","USA","1.6","self-made","executive","male","86","Constrution","Non-Traded Sectors","North America","1","","0","0","construction","Clark Enterprises","aquired","chairman","1906","","construction","","","http://www.forbes.com/profile/alfred-james-clark/","https://www.washingtonpost.com/business/a-james-clark-who-built-empire-of-concrete-and-glass-dies-at-87/2015/03/20/4828ff74-cf42-11e4-8c54-ffb5ba6f2f69_story.html","","","alexander spanos","false"
"1996","Alfred Lerner","alfred lerner","294","United States","USA","1.4","self-made","executive","male","0","Other","0","North America","1","","0","0","credit cards","MBNA","subsidiary","chairman","1982","8100200000000","","","","http://en.wikipedia.org/wiki/Al_Lerner","http://en.wikipedia.org/wiki/MBNA","Charles M. Cawley, Founder of MBNA Corp., Dies at 75 The New York Times November 25, 2015 Wednesday","","alfred james clark","false"
"2014","Alfred Mann","alfred mann","1465","United States","USA","1.1","self-made","founder non-finance","male","88","Technology-Medical","New Sectors","North America","1","","1","0","software","Spectrolab","new","founder","1956","","medical devices","","","http://en.wikipedia.org/wiki/Alfred_E._Mann","http://articles.latimes.com/2011/oct/09/business/la-fi-himi-alfred-mann-20111009","","","alfred lerner","false"
"2014","Alfred Taubman","alfred taubman","609","United States","USA","2.8","self-made","self-made finance","male","90","Real Estate","Financial","North America","1","","1","0","real estate (shopping malls)","Taubman Centers","new","founder","1950","","real estate","went to prision for comission-fixing with Anthony Tennant (Christies)","","http://en.wikipedia.org/wiki/A._Alfred_Taubman","http://en.wikipedia.org/wiki/Taubman_Centers","http://www.nytimes.com/2015/04/19/business/a-alfred-taubman-shopping-mall-tycoon-involved-in-price-fixing-scandal-dies-at-91.html?_r=1","","alfred mann","false"
"1996","Alice Walton","alice walton","41","United States","USA","4.7","inherited","inherited","female","47","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","inherited from father","retail","Walmart"," new","relation","1962","8100200000000","","inherited from father","not involved in company","http://www.forbes.com/profile/nancy-walton-laurie/","","","","alfred taubman","false"
"2014","Amos Hostetter, Jr.","amos hosetter jr","551","United States","USA","3","self-made","founder non-finance","male","77","Media","Non-Traded Sectors","North America","1","","1","0","media","Continental Cablevision","new","founder","1964","","cable television","","","http://en.wikipedia.org/wiki/Amos_Hostetter,_Jr.","http://www.forbes.com/profile/amos-hostetter-jr/","Grousbecks split The Boston Globe October 31, 2014 Friday","","alice walton","false"
"2014","Andrea Reimann-Ciardelli","andrea reimann-ciardelli","1565","United States","USA","1","inherited","inherited","female","","Consumer","Traded Sectors","North America","1","","0","inherited from father","consumer goods","Benckiser","aquired","relation","1923","","consumer goods","inherited from father","no involvement in company","http://www.forbes.com/profile/matthias-reimann-andersen/","","","","amos hosetter jr","false"
"2014","Andrew Beal","andrew beal","109","United States","USA","10.9","self-made","self-made finance","male","61","Money Management","Financial","North America","1","","1","0","real estate/banking","Beal Bank","new","founder","1988","","banks, real estate","","","http://en.wikipedia.org/wiki/Andrew_Beal","https://www.bealbank.com/About-Us","http://www.forbes.com/profile/andrew-beal/?list=forbes-400","","andrea reimann-ciardelli","false"
"2014","Andrew Cherng","andrew cherng","1270","United States","USA","1.4","self-made","founder non-finance","male","","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","restaurant","Panda Express","new","founder","1973","","","","","http://en.wikipedia.org/wiki/Andrew_Cherng","http://www.forbes.com/profile/andrew-peggy-cherng/","Cooking Up a Powerhouse of Chinese Fast Food Los Angeles Times October 8, 2001 Monday","","andrew beal","false"
"2001","Andrew McKelvey","andrew mckelvey","312","United States","USA","1.6","self-made","founder non-finance","male","","Technology-Computer","New Sectors","North America","1","","1","0","advertising","Monster Worldwide","new","founder","1967","10621800000000","","","","http://en.wikipedia.org/wiki/Andrew_McKelvey","Charitable billionaire The Courier Mail (Australia) December 1, 2008 Monday","","","andrew cherng","false"
"2014","Aneel Bhusri","aneel bhusri","1284","United States","USA","1.3","self-made","executive","male","48","Technology-Computer","New Sectors","North America","1","","0","0","venture capitalist","Greylock Partners","new","partner","1965","","business software","","","http://www.forbes.com/profile/aneel-bhusri/","http://en.wikipedia.org/wiki/Greylock_Partners","For Workday CEO, innovation isn't all about the bottom line; Visionary of the year nominee The San Francisco Chronicle (California) February 23, 2015 Monday","","andrew mckelvey","false"
"2014","Anita Zucker","anita zucker","663","United States","USA","2.6","inherited","inherited","female","62","Non-consumer industrial","Traded Sectors","North America","1","","0","spouse or widow","retail","Hudson's Bay Company","privatization","relation","1670","","chemicals","widowed, took over company from husband","first woman to chair","http://en.wikipedia.org/wiki/Anita_Zucker","http://en.wikipedia.org/wiki/Hudson%27s_Bay_Company","http://www.nytimes.com/2008/04/18/business/18zucker.html","","aneel bhusri","false"
"2001","Ann Kroenke","ann kroenke","124","United States","USA","3.4","inherited","inherited","female","","Consumer","Traded Sectors","North America","1","","0","inherited from father","retail","Walmart"," new","relation","1962","10621800000000","","inherited from father","","en.wikipedia.org/wiki/Ann_Walton_Kroenke","http://www.forbes.com/profile/ann-walton-kroenke/","","","anita zucker","false"
"2014","Ann Walton Kroenke","ann walton kroenke","305","United States","USA","4.8","inherited","inherited","female","65","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","inherited from father","retail","Walmart","new","relation","1962","","Wal-Mart","inherited from father","not involved in company","http://www.forbes.com/profile/nancy-walton-laurie/","","","","ann kroenke","false"
"1996","Anne Cox Chambers","anne cox chambers","58","United States","USA","4","inherited","inherited","female","76","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","Cox Enterprises","aquired","relation","1898","8100200000000","","inherited from brother","primary owner, since the death of her brother, she and sister took over the company","http://en.wikipedia.org/wiki/Anne_Cox_Chambers","http://www.forbes.com/lists/2010/10/billionaires-2010_Anne-Cox-Chambers_OR0X.html","http://www.nytimes.com/2007/05/30/business/media/30anthony.html?_r=0","","ann walton kroenke","false"
"2014","Anne Gittinger","anne gittinger","1270","United States","USA","1.4","inherited","inherited","female","78","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","Third generation","retail","Nordstrom","new","relation","1901","","Nordstrom department stores","3rd generation","brother ran the company, she is major shareholder","http://www.forbes.com/profile/anne-gittinger/","","","","anne cox chambers","false"
"2014","Anthony Pritzker","anthony pritzker","520","United States","USA","3.1","inherited","inherited","male","53","Real Estate","Financial","North America","1","","0","inherited from father","hotels","Hyatt","aquired","relation","1957","","hotels, investments","inherited from father","head of Pritzker Group, former head of Marmon companies","http://en.wikipedia.org/wiki/Pritzker_family","http://www.forbes.com/profile/anthony-pritzker/","","","anne gittinger","false"
"2014","Archie Aldis Emmerson","archie aldis emmerson","520","United States","USA","3.1","self-made","privatized and resources","male","84","Mining and metals","Resource Related","North America","1","","1","0","lumber, real estate","Sierra Pacific Industries ","new","founder","1949","","timberland, lumber mills","","","http://en.wikipedia.org/wiki/Archie_Aldis_Emmerson","http://www.forbes.com/profile/archie-aldis-emmerson/","http://www.redding.com/news/local/sierra-pacifics-emmerson-again-makes-forbes-list-ep-967707666-362060801.html","","anthony pritzker","false"
"2001","Arthur Blank","arthur blank","251","United States","USA","1.9","self-made","founder non-finance","male","58","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","retail","Home Depot","new","founder","1979","10621800000000","","","","http://en.wikipedia.org/wiki/Arthur_Blank","http://www.forbes.com/profile/arthur-blank/","http://www.wsbtv.com/news/news/local/arthur-blank-atlanta-falcons-diagnosed-cancer/nqMWB/","","archie aldis emmerson","false"
"2001","Arthur Rock","arthur rock","452","United States","USA","1.1","self-made","self-made finance","male","74","Venture Capital","Financial","North America","1","","1","0","venture capitalist","Davis & Rock","new","founder","1961","10621800000000","","early investor in  Apple and Intel","","http://en.wikipedia.org/wiki/Arthur_Rock","http://en.wikipedia.org/wiki/Ant%C3%B3nio_Champalimaud","Arthur Rock Is Leaving Apple The San Francisco Chronicle AUGUST 5, 1993, THURSDAY, FINAL EDITION","","arthur blank","false"
"2001","Arthur Williams Jr","arthur williams jr","387","United States","USA","1.3","self-made","self-made finance","male","58","Hedge funds","Financial","North America","1","","1","0","life insurance ","A.L. Williams & Associates","new","founder","1977","10621800000000","","","","http://en.wikipedia.org/wiki/Arthur_L._Williams,_Jr.","http://www.forbes.com/lists/2006/10/DA4B.html","","","arthur rock","false"
"2014","Arturo Moreno","arturo moreno","1284","United States","USA","1.3","self-made","self-made finance","male","67","Real Estate","Financial","North America","1","","0","0","advertising","Outdoor Systems","new","CEO","1947","","billboards","","","http://en.wikipedia.org/wiki/Arte_Moreno","http://en.wikipedia.org/wiki/Outdoor_Systems","http://www.forbes.com/profile/arturo-moreno/","","arthur williams jr","false"
"2014","Austen Cargill, II.","austen cargill ii","506","United States","USA","3.2","inherited","inherited","male","63","Money Management","Financial","North America","1","","0","Third generation","food processing/commodities","Cargill","new","relation","1865","","Cargill Inc.","3rd generation","","http://en.wikipedia.org/wiki/Cargill","http://www.cargill.com/150/en/timeline/index.jsp","","","arturo moreno","false"
"2014","B. Wayne Hughes","b wayne hughes","828","United States","USA","2.1","self-made","founder non-finance","male","80","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","self-storage","Public Storage","new","founder","1972","","self storage","","","http://en.wikipedia.org/wiki/B._Wayne_Hughes","http://en.wikipedia.org/wiki/Public_Storage","http://www.forbes.com/profile/b-wayne-hughes/","","austen cargill ii","false"
"2001","Barbara Carlson Gage","barbara carlson gage","363","United States","USA","1.4","inherited","inherited","female","59","Real Estate","Financial","North America","1","","0","inherited from father","hospitality","Carlson Inc","new","relation","1938","10621800000000","","inherited from father","","http://www.forbes.com/profile/barbara-carlson-gage/#","http://www.carlson.com/our-company/history.do","","","b wayne hughes","false"
"2001","Barbara Cox Anthony","barbara cox anthony","21","United States","USA","11.7","inherited","inherited","female","77","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","Cox Enterprises","aquired","relation","1898","10621800000000","","inherited from father","","http://en.wikipedia.org/wiki/Barbara_Cox_Anthony","http://en.wikipedia.org/wiki/Cox_Enterprises","http://www.nytimes.com/2007/05/30/business/media/30anthony.html?_r=0","","barbara carlson gage","false"
"2001","Barbara Piasecka Johnson","barbara piasecka johnson","209","United States","USA","2.2","inherited","inherited","female","64","Technology-Medical","New Sectors","North America","1","","0","spouse or widow","medical supplies","Johnson & Johnson","new","relation","1886","10621800000000","","widow","","http://en.wikipedia.org/wiki/Johnson_%26_Johnson","http://www.nytimes.com/2013/04/04/nyregion/barbara-piasecka-johnson-maid-who-married-multimillionaire-dies-at-76.html","","","barbara cox anthony","false"
"2014","Barry Diller","barry diller","731","United States","USA","2.4","self-made","executive","male","72","Media","Non-Traded Sectors","North America","1","","0","0","media","IAC ","new","Chairman and Chief Executive Officer","1986","","online media","","","http://en.wikipedia.org/wiki/Barry_Diller","http://www.forbes.com/profile/barry-diller/","VIVENDI TO ENLIST DILLER AS CO-CEO;STRUGGLING MEDIA GIANT TRIES TO FIND FOOTING Orlando Sentinel (Florida) November 13, 2002 Wednesday, FINAL","","barbara piasecka johnson","false"
"2001","Bennett Dorrance","bennett dorrance","336","United States","USA","1.5","inherited","inherited","male","58","Consumer","Traded Sectors","North America","1","","0","Third generation","soup","Campbell Soup","aquired","relation","1869","10621800000000","","3rd generation","","http://en.wikipedia.org/wiki/Campbell_Soup_Company","http://www.campbellsoupcompany.com/about-campbell/","","","barry diller","false"
"2001","Bernard Marcus","bernard marcus","130","United States","USA","3.3","self-made","founder non-finance","male","71","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","home improvement retail","Home Depot","new","founder","1979","10621800000000","","","","http://en.wikipedia.org/wiki/Bernard_Marcus","http://www.forbes.com/profile/arthur-blank/","BERNIE! BERNIE!; At 71, Bernie Marcus is still using his trademark charm to get message of Home Depot out to the masses The Atlanta Journal and Constitution July 30, 2000, Sunday","","bennett dorrance","false"
"2014","Bernard Saul, II.","bernard saul ii","764","United States","USA","2.3","inherited","inherited","male","81","Money Management","Financial","North America","1","","0","Third generation","mortgage banking","B. F. Saul Company","new","relation","1899","","banking, real estate","3rd generation","","http://en.wikipedia.org/wiki/Bernard_Francis_Saul","http://www.bizjournals.com/washington/stories/2009/12/28/story3.html?page=all","","","bernard marcus","false"
"2014","Bharat Desai","bharat desai","731","United States","USA","2.4","self-made","founder non-finance","male","61","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","IT Consulting","Syntel","new","founder","1980","","outsourcing","","","http://www.forbes.com/profile/bharat-desai/","http://www.bloomberg.com/research/stocks/people/person.asp?personId=220876&privcapId=220874","","","bernard saul ii","false"
"2001","Bill Gates","bill gates","1","United States","USA","58.7","self-made","founder non-finance","male","45","Technology-Computer","New Sectors","North America","1","","1","0"," Software","Microsoft","new","founder","1975","10621800000000","","","","http://www.forbes.com/profile/bill-gates/","","","","bharat desai","false"
"2014","Bill Gross","bill gross","764","United States","USA","2.3","self-made","self-made finance","male","69","Diversified financial","Financial","North America","1","","1","0","mutual funds","PIMCO","new","founder","1971","","investments","","","http://en.wikipedia.org/wiki/Bill_Gross","http://en.wikipedia.org/wiki/Pacific_Investment_Management","http://www.forbes.com/profile/bill-gross/","","bill gates","false"
"2014","Bill Marriott, Jr.","bill marriott jr","796","United States","USA","2.2","inherited","inherited","male","81","Real Estate","Financial","North America","1","","0","inherited from father","hotels","Marriot","new","relation","1927","","hotels","inherited from father, CEO for 40 years","","http://en.wikipedia.org/wiki/Marriott_International","http://www.marriott.com/about/culture-and-values/history.mi#earlyyears","","","bill gross","false"
"2014","Billy Joe (Red) McCombs","billy joe (red) mccombs","1210","United States","USA","1.4","self-made","self-made finance","male","86","Real Estate","Financial","North America","1","","1","0","auto sales, energy","Red McCombs Automotive Group","new","founder","1953","","real estate, oil, cars","","","http://en.wikipedia.org/wiki/Red_McCombs","McCombs: A wheeler- dealer all his life San Antonio Express-News January 16, 2011 Sunday","","","bill marriott jr","false"
"2001","Billy Joe McCombs","billy joe mccombs","336","United States","USA","1.5","self-made","self-made finance","male","73","Real Estate","Financial","North America","1","","1","0","auto sales, energy","Red McCombs Automotive Group","new","founder","1958","10621800000000","","","","http://en.wikipedia.org/wiki/Red_McCombs","McCombs: A wheeler- dealer all his life San Antonio Express-News January 16, 2011 Sunday","","","billy joe (red) mccombs","false"
"2014","Blair Parry-Okeden","blair parry-okeden","168","United States","USA","7.7","inherited","inherited","female","63","Media","Non-Traded Sectors","North America","1","","0","Third generation","media","Cox Enterprises","aquired","relation","1898","","media","3rd generation","no role in company","http://www.forbes.com/profile/blair-parry-okeden/","","","","billy joe mccombs","false"
"2001","Blase Golisano","blase golisano","272","United States","USA","1.8","self-made","founder non-finance","male","59","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","payroll processing","Paychex","new","founder","1971","10621800000000","","","","http://en.wikipedia.org/wiki/Tom_Golisano","http://en.wikipedia.org/wiki/Paychex","Tom Golisano Could Drive Pataki Wacky Newsday (New York) October 12, 1994, Wednesday, CITY EDITION","","blair parry-okeden","false"
"2014","Bob Parsons","bob parsons","931","United States","USA","1.9","self-made","founder non-finance","male","63","Technology-Computer","New Sectors","North America","1","","1","0","internet domain and web hosting","Go Daddy","new","founder","1997","","web hosting","","","http://en.wikipedia.org/wiki/Bob_Parsons","http://www.forbes.com/profile/bob-parsons/","Go Daddy exec, wife give back in big way The Arizona Republic (Phoenix) December 5, 2012 Wednesday","","blase golisano","false"
"2014","Brad Kelley","brad kelley","869","United States","USA","2","self-made","founder non-finance","male","57","Consumer","Traded Sectors","North America","1","","1","0","tobacco","Commonwealth Brands","new","founder","1991","","tobacco","","","http://en.wikipedia.org/wiki/Brad_M._Kelley","http://www.forbes.com/profile/brad-kelley/","http://www.wsj.com/articles/SB10000872396390444799904578050541251702834","","bob parsons","false"
"2001","Bradley Hughes","bradley hughes","387","United States","USA","1.3","self-made","founder non-finance","male","67","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","self-storage","Public Storage","new","founder","1972","10621800000000","","","","http://en.wikipedia.org/wiki/B._Wayne_Hughes","http://en.wikipedia.org/wiki/Public_Storage","http://www.forbes.com/profile/b-wayne-hughes/","","brad kelley","false"
"2014","Brian Acton","brian acton","551","United States","USA","3","self-made","founder non-finance","male","42","Technology-Computer","New Sectors","North America","1","","1","0","software","WhatsApp","new","founder","2009","","WhatsApp","","","http://en.wikipedia.org/wiki/Brian_Acton","http://www.forbes.com/profile/brian-acton/","WhatsApp will make billionaire out of Lake Howell High 'geek' Orlando Sentinel (Florida) February 26, 2014 Wednesday","","bradley hughes","false"
"2014","Brian Higgins","brian higgins","1565","United States","USA","1","self-made","self-made finance","male","49","Hedge funds","Financial","North America","1","","1","0","hedge funds","King Street Capital Management","new","founder","1995","","Hedge fund","","","http://www.forbes.com/profile/brian-higgins-1/","http://www.forbes.com/sites/nathanvardi/2014/03/03/the-worlds-hedge-fund-billionaires/#3144e3d97ac8","","","brian acton","false"
"2014","Brian Roberts","brian roberts","1372","United States","USA","1.2","inherited","inherited","male","54","Media","Non-Traded Sectors","North America","1","","0","inherited from father","media","Comcast","new","relation","1969","","Comcast","inherited from father","","http://en.wikipedia.org/wiki/Brian_L._Roberts","http://en.wikipedia.org/wiki/Comcast#History","http://www.forbes.com/profile/brian-roberts/","","brian higgins","false"
"2014","Bruce Halle","bruce halle","281","United States","USA","5","self-made","founder non-finance","male","83","Consumer","Traded Sectors","North America","1","","1","0","retail","Discount Tire","new","founder","1960","","tires","","","http://en.wikipedia.org/wiki/Bruce_Halle","http://www.forbes.com/profile/bruce-halle/","2 PV police cases, 2 different outcomes The Arizona Republic (Phoenix) May 9, 2012 Wednesday","","brian roberts","false"
"2014","Bruce Karsh","bruce karsh","869","United States","USA","2","self-made","self-made finance","male","58","Private equity/leveraged buyout","Financial","North America","1","","1","0","asset management","Oaktree Capital Management","new","founder","1995","","private equity","","","http://en.wikipedia.org/wiki/Bruce_Karsh","http://en.wikipedia.org/wiki/Oaktree_Capital_Management","http://www.forbes.com/profile/bruce-karsh/","","bruce halle","false"
"2014","Bruce Kovner","bruce kovner","305","United States","USA","4.8","self-made","self-made finance","male","69","Hedge funds","Financial","North America","1","","1","0","commodities trading","Caxton Associates","new","founder","1983","","hedge funds","","","http://en.wikipedia.org/wiki/Bruce_Kovner","https://www.caxton.com/","Bruce Kovner, Influential Hedge Fund Manager, Announces Rare Succession Plan The New York Times September 14, 2011 Wednesday","","bruce karsh","false"
"2001","Bruce McCaw","bruce mccaw","452","United States","USA","1.1","self-made","founder non-finance","male","","Media","Non-Traded Sectors","North America","1","","1","0","cell phones","McCaw Cellular","new","founder","1987","10621800000000","","","","http://community.seattletimes.nwsource.com/archive/?date=20021216&slug=mccaw16m","http://community.seattletimes.nwsource.com/archive/?date=19930408&slug=1694858","","","bruce kovner","false"
"2014","Bruce Nordstrom","bruce nordstrom","1284","United States","USA","1.3","inherited","inherited","male","80","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","Third generation","retail","Nordstrom","new","relation","1901","","Nordstrom department stores","3rd generation","","http://en.wikipedia.org/wiki/Bruce_Nordstrom","http://www.forbes.com/profile/bruce-nordstrom/","","","bruce mccaw","false"
"2014","C. Dean Metropoulos","c dean metropoulos","1284","United States","USA","1.3","self-made","self-made finance","male","67","Diversified financial","Financial","North America","1","","0","0","private equity","Apollo Global management","new","investor","1990","","investments","","","www.forbes.com/profile/c-dean-metropoulos/","https://www.washingtonpost.com/business/economy/meet-the-twinkie-saving-beer-selling-billionaire-who-has-changed-the-way-you-eat/2014/10/29/0840348a-481b-11e4-b72e-d60a9229cc10_story.html","","","bruce nordstrom","false"
"2014","C. James Koch","c james koch","1565","United States","USA","1","self-made","founder non-finance","male","64","Consumer","Traded Sectors","North America","1","","1","0","beer","Boston Beer Company","new","founder","1984","","beer","","","http://en.wikipedia.org/wiki/Samuel_Adams_(beer)","SAM ADAMS CREATOR THRIVES AMID CRAFT BEER SURGE Pittsburgh Post-Gazette September 26, 2013 Thursday","","","c dean metropoulos","false"
"2001","Carl Berg","carl berg","336","United States","USA","1.5","self-made","self-made finance","male","63","Real Estate","Financial","North America","1","","0","0","real estate","Berg and Berg","aquired","owner","1965","10621800000000","","","","http://www.forbes.com/profile/carl-berg/#","In $1.3 billion deal, South Bay developer Carl Berg sells about 100 commercial properties San Jose Mercury News (California) November 6, 2012 Tuesday","","","c james koch","false"
"2001","Carl Icahn","carl icahn","109","United States","USA","3.7","self-made","self-made finance","male","65","Private equity/leveraged buyout","Financial","North America","1","","1","0","investment (via holding company)","Icahn Enterprises","new","founder","1968","10621800000000","","","","http://en.wikipedia.org/wiki/Carl_Icahn","http://www.bloomberg.com/research/stocks/private/person.asp?personId=250594&privcapId=4185684","","","carl berg","false"
"1996","Carl Lindner Jr","carl lindner jr","379","United States","USA","1.1","self-made","founder non-finance","male","76","0","0","North America","1","","1","0","banking","American Financial Group","new","founder","1959","8100200000000","","","","http://www.nytimes.com/2011/10/19/business/carl-h-lindner-jr-founder-of-american-financial-dies-at-92.html?_r=0","","","","carl icahn","false"
"2001","Carl Pohlad","carl pohlad","272","United States","USA","1.8","self-made","self-made finance","male","85","Money Management","Financial","North America","1","","0","0","banking","Marquette Bank","aquired","owner","1920","10621800000000","","","","http://en.wikipedia.org/wiki/Carl_Pohlad","http://www.nytimes.com/2009/01/06/sports/baseball/06pohlad.html?_r=0","","","carl lindner jr","false"
"2014","Carol Jenkins Barnett","carol jenkins barnett","1372","United States","USA","1.2","inherited","inherited","female","57","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","inherited from father","groceries","Publix Super Markets","new","relation","1930","","Publix supermarkets","inherited from father","chair of company, has male siblings","http://www.forbes.com/profile/carol-jenkins-barnett/","http://en.wikipedia.org/wiki/George_W._Jenkins","","","carl pohlad","false"
"2014","Catherine Lozick","catherine lozick","869","United States","USA","2","inherited","inherited","female","69","Non-consumer industrial","Traded Sectors","North America","1","","0","inherited from father","manufacturing","Swagelok","new","relation","1947","","Manufacturing","inherited from father","apparently father wanted her to have the whole company","http://www.forbes.com/profile/catherine-lozick/","http://en.wikipedia.org/wiki/Swagelok","","","carol jenkins barnett","false"
"2014","Charles Brandes","charles brandes","1465","United States","USA","1.1","self-made","self-made finance","male","71","Money Management","Financial","North America","1","","1","0","investment banking","Brades Investment Partners","new","founder","1974","","money management","","","http://en.wikipedia.org/wiki/Charles_Brandes","http://www.forbes.com/profile/charles-brandes/","VALUE INVESTING; Rotman students learn from the best; MBA candidates travel to San Diego for a one-day immersion in bottom-up stock selection from billionaire Charles Brandes The Globe and Mail (Canada) March 16, 2015 Monday","","catherine lozick","false"
"2001","Charles Butt","charles butt","272","United States","USA","1.8","inherited","inherited","male","62","Retail, Restaurant","Non-Traded Sectors","North America","1","","0","Third generation","groceries","H-E-B supermarket","new","relation","1905","10621800000000","","3rd generation","","http://en.wikipedia.org/wiki/Charles_Butt","http://en.wikipedia.org/wiki/H-E-B","http://www.forbes.com/profile/charles-butt/","","charles brandes","false"
"2014","Charles Dolan","charles dolan","408","United States","USA","3.7","self-made","founder non-finance","male","87","Media","Non-Traded Sectors","North America","1","","1","0","media","Cablevision and HBO","new","founder","1972","","cable television","","","http://en.wikipedia.org/wiki/Charles_Dolan","http://en.wikipedia.org/wiki/Cablevision","http://en.wikipedia.org/wiki/HBO","","charles butt","false"
"2001","Charles Ergen","charles ergen","35","United States","USA","8.8","self-made","founder non-finance","male","48","Media","Non-Traded Sectors","North America","1","","1","0","media","dish networtk","new","founder","1980","10621800000000","","","","http://en.wikipedia.org/wiki/Charlie_Ergen","http://www.forbes.com/profile/charles-ergen/","A look at Charles Ergen, the man who wants to buy Sprint The Kansas City Star April 15, 2013 Monday","","charles dolan","false"
"1996","Charles Gates Jr","charles gates jr","381","United States","USA","1.1","inherited","inherited","male","74","Mining and metals","Resource Related","North America","1","","0","inherited from father","tires","Gates Rubber Company","aquired","relation","1911","8100200000000","","inherited from father","","http://en.wikipedia.org/wiki/Charles_Gates,_Jr.","Gates didn't put all eggs in one basket The Denver Post September 2, 2005 Friday","","","charles ergen","false"
