recipient_name,amt,cycle,votes
Stan Klos (R),134150,1994,"130,441"
Robert C Byrd (D),628145,1994,"290,495"
Robert C Byrd (D),1031217,2000,"469,215"
David T Gallaher (R),1018,2000,"121,635"
John R Raese (R),3034180,2006,"155,043"
Robert C Byrd (D),3132722,2006,"296,276"
