"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"L000504","Richard","Lugar","R",13,"IN",2.19,88.46,101
"M000019","Connie","Mack","R",1,"FL",2.35,84.91,101
"M000250","Spark","Matsunaga","D",13,"HI",33.6,87.76,101
"M000303","John","McCain","R",3,"AZ",2.82,87.1,101
"M000346","James","McClure","R",17,"ID",2.35,82.99,101
"M000355","Mitch","McConnell","R",5,"KY",0.63,88.01,101
"M000678","Howard","Metzenbaum","D",14,"OH",2.04,82.4,101
"M000702","Barbara","Mikulski","D",3,"MD",2.82,90,101
"M000811","George","Mitchell","D",9,"ME",0,89.34,101
"M001054","Daniel","Moynihan","D",13,"NY",1.57,86.62,101
"M001085","Frank","Murkowski","R",9,"AK",3.29,88.17,101
"N000102","Don","Nickles","R",9,"OK",1.41,87.76,101
"N000171","Samuel","Nunn","D",17,"GA",1.72,83.57,101
"P000009","Robert","Packwood","R",21,"OR",3.13,72.17,101
"P000193","Claiborne","Pell","D",29,"RI",3.45,86.69,101
"P000513","Larry","Pressler","R",11,"SD",1.88,78.43,101
"P000556","David","Pryor","D",11,"AR",2.66,87.76,101
"R000146","Harry","Reid","D",3,"NV",0.63,84.86,101
"R000249","Donald","Riegle","D",13,"MI",4.23,90.67,101
"R000295","Charles","Robb","D",1,"VA",0,83.54,101
"R000361","John","Rockefeller IV","D",5,"WV",0.94,86.71,101
"R000460","William","Roth Jr.","R",19,"DE",1.57,80.25,101
"R000497","Warren","Rudman","R",9,"NH",2.98,80.13,101
"S000055","James","Sanford","D",3,"NC",3.76,85.83,101
"S000064","Paul","Sarbanes","D",13,"MD",0.63,90.69,101
"S000068","James","Sasser","D",13,"TN",2.35,88.44,101
"S000320","Richard","Shelby","D",3,"AL",0,72.41,101
"S000423","Paul","Simon","D",5,"IL",1.25,85.08,101
"S000429","Alan","Simpson","R",11,"WY",4.39,89.02,101
"S000709","Arlen","Specter","R",9,"PA",0.16,71.9,101
"S000888","Ted","Stevens","R",21,"AK",2.19,81.25,101
"S001138","Steven","Symms","R",9,"ID",3.13,83.82,101
"T000254","Strom","Thurmond","R",34,"SC",0.16,90.74,101
"W000092","Malcolm","Wallop","R",13,"WY",7.68,83.53,101
"W000154","John","Warner","R",11,"VA",0.94,82.91,101
"W000607","Pete","Wilson","R",7,"CA",15.36,81.11,101
"W000647","Timothy","Wirth","D",3,"CO",1.57,88.38,101
"A000031","Brockman","Adams","D",5,"WA",0.55,89.95,102
"A000069","Daniel","Akaka","D",3,"HI",0.73,88.83,102
"B000243","Max","Baucus","D",13,"MT",0.55,86.11,102
"B000401","Lloyd","Bentsen","D",21,"TX",5.45,81.15,102
"B000444","Joseph","Biden Jr.","D",19,"DE",3.82,88.09,102
"B000468","Jeff","Bingaman","D",9,"NM",4.18,81.97,102
"B000611","Christopher","Bond","R",5,"MO",6.18,85.85,102
"B000639","David","Boren","D",13,"OK",5.64,76.69,102
"B000780","John","Breaux","D",5,"LA",3.64,77.92,102
"B000919","Hank","Brown","R",1,"CO",1.64,82.07,102
"B000993","Richard","Bryan","D",3,"NV",0.18,82.7,102
"B001057","Dale","Bumpers","D",17,"AR",2,82.75,102
"B001076","Jocelyn","Burdick","D",1,"ND",7.94,86.21,102
"B001077","Quentin","Burdick","D",31,"ND",9.59,87.97,102
"B001126","Conrad","Burns","R",3,"MT",0.18,89.62,102
"B001210","Robert","Byrd","D",33,"WV",0,79.45,102
"B001225","William","Bradley","D",13,"NJ",7.09,83.76,102
"C000269","John","Chafee","R",15,"RI",2,69.94,102
"C000542","Daniel","Coats","R",3,"IN",0.73,86.45,102
"C000567","Thad","Cochran","R",13,"MS",1.45,90.77,102
"C000598","William","Cohen","R",13,"ME",0.73,72.53,102
"C000705","Kent","Conrad","D",5,"ND",1.27,75.51,102
"C000858","Larry","Craig","R",1,"ID",1.09,84.38,102
