year,pooleid,passed,passed_senate,n_bills
1995,average,0.381139489194499,0.6208251473477406,8.554027504911591
1996,average,0.24301075268817204,0.34623655913978496,4.7075268817204305
1997,average,0.490272373540856,0.7237354085603113,9.058365758754864
1998,average,0.22336065573770492,0.3975409836065574,5.887295081967213
1999,average,0.6497175141242938,0.9981167608286252,10.384180790960452
2000,average,0.3698630136986301,0.4892367906066536,6.759295499021526
2001,average,0.45368620037807184,0.6862003780718336,10.379962192816635
2002,average,0.2047244094488189,0.3110236220472441,6.801181102362205
2003,average,0.626641651031895,0.9212007504690432,10.697936210131331
2004,average,0.3207171314741036,0.4760956175298805,5.50597609561753
2005,average,0.5876865671641791,0.8675373134328358,12.723880597014926
2006,average,0.3016194331983806,0.38461538461538464,7.566801619433198
2007,average,0.5437616387337058,0.6797020484171322,13.880819366852887
2008,average,0.30278884462151395,0.3426294820717131,7.225099601593626
2009,average,0.4199623352165725,0.6591337099811676,13.807909604519773
2010,average,0.27976190476190477,0.4305555555555556,6.541666666666667
2011,average,0.2781954887218045,0.41353383458646614,10.87781954887218
2012,average,0.0872210953346856,0.23529411764705882,9.089249492900608
